Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw	Measurement Type	Serial #	Config. 
ua01	Default	18.02.2019	09:33	36,41	0,728	0,341	2,14	0,94	50,00	230	0,771	0,032	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua02	Default	18.02.2019	09:34	41,22	0,824	0,404	2,04	0,94	50,00	230	0,874	0,054	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua03	Default	18.02.2019	09:35	26,26	0,525	0,211	2,49	0,79	50,00	230	0,664	0,024	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua04	Default	18.02.2019	09:35	34,13	0,683	0,259	2,64	0,58	50,00	230	1,181	0,043	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua05	Default	18.02.2019	09:36	12,01	0,240	0,074	3,26	0,40	50,00	230	0,598	0,040	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua06	Default	18.02.2019	09:36	40,47	0,809	0,354	2,29	0,85	50,00	230	0,951	0,068	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua07	Default	18.02.2019	09:37	18,80	0,376	0,116	3,23	0,46	50,00	230	0,812	0,062	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua08	Default	18.02.2019	09:38	41,66	0,833	0,313	2,66	0,95	50,00	230	0,874	0,089	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua09	Default	18.02.2019	09:38	16,42	0,328	0,100	3,30	0,33	50,00	230	0,988	0,041	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua10	Default	18.02.2019	09:39	105,00	2,100	1,051	2,00	0,65	50,00	230	3,246	0,626	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua11	Default	18.02.2019	09:39	13,47	0,269	0,102	2,64	0,26	50,00	230	1,047	0,413	Measure	USB2G20898B8338	1,055106/0,16/128/16
ua12	Default	18.02.2019	09:40	19,27	0,385	0,148	2,60	0,39	50,00	230	0,977	0,035	Measure	USB2G20898B8338	1,055106/0,16/128/16
