Sample ID	ng/ul 	A260 	A280 	260/280 	260/230 
1	319,74	6,395	3,07	2,08	1,88
2	1135,79	22,716	11,259	2,02	2
2	45,9	0,918	0,496	1,85	1,58
3	33,88	0,678	0,358	1,89	1,64
4	15,72	0,314	0,152	2,06	1,31
5	33,23	0,665	0,387	1,72	1,56
1d	17,42	0,348	0,137	2,55	1,42
2n	1136,67	22,733	11,342	2	1,96
3n	903,78	18,076	8,962	2,02	1,89
4n	400,34	8,007	3,901	2,05	1,89
5n	688,29	13,766	7,112	1,94	1,65
6	221,22	4,424	2,281	1,94	1,42
7	254,64	5,093	2,561	1,99	1,48
8	405,58	8,112	3,978	2,04	1,68
9	1320,63	26,413	13,826	1,91	1,53
10	515,1	10,302	5,35	1,93	1,78
10d	24,2	0,484	0,258	1,87	1,75
11	98,3	1,966	1,019	1,93	1
11d	4,21	0,084	0,014	5,85	0,79
12	433,19	8,664	4,396	1,97	1,64
12d	22,95	0,459	0,205	2,24	1,63
13	682,67	13,653	6,725	2,03	1,7
14	324,06	6,481	3,808	1,7	1,05
15	531,31	10,626	5,433	1,96	1,56
16	111,99	2,24	0,998	2,24	1,3
17	907,03	18,141	8,976	2,02	1,61
18	279,68	5,594	2,895	1,93	1,38
18d	16,54	0,331	0,09	3,7	1,36
18d	17,48	0,35	0,125	2,79	1,51
19	913,03	18,261	8,845	2,06	1,71
19d	29,67	0,593	0,23	2,58	1,99
20	1112,65	22,253	11,318	1,97	1,76
20d	53,96	1,079	0,539	2	2,06
21	1412,91	28,258	13,527	2,09	1,89
22	28,58	0,572	0,27	2,11	0,49
23	810,98	16,22	8,695	1,87	1,51
24	965,39	19,308	9,655	2	1,69
25	417,38	8,348	4,457	1,87	1,38
26	798,83	15,977	8,238	1,94	1,49
27	10,39	0,208	0,089	2,34	0,78
27	376,43	7,529	4,412	1,71	1,25
27d	5,61	0,112	0,094	1,19	0,92
28	518,57	10,371	5,409	1,92	1,81
28d	41,69	0,834	0,542	1,54	1,88
29	860,57	17,211	8,608	2	1,94
29d	44,55	0,891	0,545	1,63	1,62
30	798,62	15,972	8,364	1,91	1,8
31	209,38	4,188	2,223	1,88	1,4
32	125,85	2,517	1,436	1,75	1,05
33	710,6	14,212	6,785	2,09	1,92
34	532,64	10,653	5,422	1,96	1,86
35	557,83	11,157	6,394	1,74	1
36	250,35	5,007	2,507	2	1,69
37	385,97	7,719	3,94	1,96	1,67
38	1122,66	22,453	11,827	1,9	1,65
35d	220,03	4,401	3,959	1,11	1,05
35d	69,19	1,384	0,979	1,41	0,74
36d	7,17	0,143	0,14	1,02	0,81
37d	17,95	0,359	0,277	1,3	1,32
39	993,27	19,865	9,605	2,07	2,03
40	1684,46	33,689	17,138	1,97	1,82
41	1042,33	20,847	10,449	2	1,92
42	1049,91	20,998	10,163	2,07	1,87
43	246,23	4,925	2,588	1,9	1,7
44	142,87	2,857	1,514	1,89	1,3
44d	3,49	0,07	0,081	0,87	0,53
45d	42,04	0,841	0,571	1,47	1,41
46d	7,32	0,146	0,16	0,92	1,02
45	965,24	19,305	10,137	1,9	1,63
46	225,95	4,519	2,266	1,99	1,66
47	476,04	9,521	5,402	1,76	1,36
48	153,34	3,067	1,647	1,86	1,42
49	181,91	3,638	1,933	1,88	1,25
50	308,2	6,164	3,153	1,95	1,55
51	932,92	18,658	9,072	2,06	1,85
52	1633,88	32,678	17,026	1,92	1,4
52d	116,89	2,338	1,393	1,68	1,09
53	260,85	5,217	2,727	1,91	1,58
53d	22,84	0,457	0,317	1,44	1,31
54	937,02	18,74	9,443	1,98	2,03
54d	49,32	0,986	0,583	1,69	1,98
55	409,86	8,197	4,23	1,94	1,71
56	842,89	16,858	8,036	2,1	2,01
57	337,42	6,748	3,348	2,02	1,75
58	231,77	4,635	2,354	1,97	1,6
59	217,54	4,351	2,265	1,92	1,45
60	104,78	2,096	1,162	1,8	1,15
61	540,02	10,8	5,512	1,96	1,84
61d	32,14	0,643	0,421	1,53	1,6
62	213,84	4,277	2,228	1,92	1,57
62d	6,87	0,137	0,154	0,89	0,78
63	173,06	3,461	1,813	1,91	1,44
63d	12,23	0,245	0,218	1,12	1,05
64	170,82	3,416	1,857	1,84	1,43
65	262,59	5,252	2,745	1,91	1,73
66	965,23	19,305	11,211	1,72	1,16
67	280,48	5,61	2,949	1,9	1,73
67	310,38	6,208	3,209	1,93	1,61
68	330,29	6,606	3,402	1,94	1,71
69	1013,74	20,275	10,217	1,98	1,95
70	309,96	6,199	3,144	1,97	1,62
71	122,17	2,443	1,289	1,9	1,26
72	267,92	5,358	2,79	1,92	1,64
73	325,57	6,511	3,388	1,92	1,65
74	453,88	9,078	4,955	1,83	1,42
75	138,08	2,762	1,499	1,84	1,32
76	130,9	2,618	1,434	1,83	1,14
77	380,49	7,61	4,015	1,9	1,59
78	228,46	4,569	2,379	1,92	1,45
79	210,17	4,203	2,192	1,92	1,5
80	135,69	2,714	1,453	1,87	1,21
81	187,45	3,749	1,941	1,93	1,39
82	82,39	1,648	0,923	1,79	1,1
83	231,19	4,624	2,446	1,89	1,54
84	469,68	9,394	4,923	1,91	1,69
85	240,43	4,809	2,582	1,86	1,48
86	294,38	5,888	3,062	1,92	1,77
87	117,72	2,354	1,29	1,82	1,2
88	287,46	5,749	3,029	1,9	1,62
Feb 16	50,48	1,01	0,533	1,89	0,95
Mrz 16	15,25	0,305	0,176	1,73	0,4
Apr 16	35,15	0,703	0,374	1,88	0,8
Mai 16	29,17	0,583	0,354	1,65	0,64
Jun 16	19,01	0,38	0,258	1,48	0,48
Okt 16	746,87	14,937	7,818	1,91	2,01
Nov 16	582,91	11,658	6,317	1,85	1,95
Dez 16	142,84	2,857	1,531	1,87	1,36
14-16	236,69	4,734	2,393	1,98	1,78
15-16	144,11	2,882	1,539	1,87	1,23
26-16a	57,32	1,146	0,677	1,69	0,97
27-16	80,51	1,61	0,86	1,87	1,08
30-16	51,62	1,032	0,603	1,71	0,98
31-16	112	2,24	1,212	1,85	1,21
32-16	183,6	3,672	2,156	1,7	1,38
33-16	29,66	0,593	0,385	1,54	0,62
36-16	470,69	9,414	5,024	1,87	1,97
42-16	134,89	2,698	1,453	1,86	1,29
43-16	118,17	2,363	1,243	1,9	1,34
44-16	111,02	2,22	1,212	1,83	1,32
45-16	190,25	3,805	1,969	1,93	1,45
46-16a	115,17	2,303	1,245	1,85	1,19
46-16b	63,6	1,272	0,77	1,65	1,01
47-16	40,85	0,817	0,515	1,59	0,69
48-16	233,2	4,664	2,605	1,79	1,63
48-16	49,32	0,986	0,576	1,71	0,91
54-16	19,65	0,393	0,267	1,47	0,49
58-16	249,69	4,994	2,818	1,77	1,64
58-16	39,24	0,785	0,476	1,65	0,76
65-16	30,83	0,617	0,382	1,62	0,67
67-16	60,66	1,213	0,66	1,84	1,02
68-16	177,29	3,546	1,865	1,9	1,58
71-16	20,57	0,411	0,276	1,49	0,48
76-16	46,59	0,932	0,552	1,69	0,83
