title,director,actors,genre,runtimeMinutes,rating,rewatchCount,watchDate
Interstellar,Christopher Nolan,Matthew McConaughey;Anne Hathaway,Sci-Fi,169,5.0,3,2025-01-05
La La Land,Damien Chazelle,Ryan Gosling;Emma Stone,Musical,128,4.8,2,2025-02-12
Whiplash,Damien Chazelle,Miles Teller;J.K. Simmons,Drama,106,4.9,1,2025-01-17
Oppenheimer,Christopher Nolan,Cillian Murphy;Robert Downey Jr.,Biography,180,4.7,1,2025-03-02
The Batman,Matt Reeves,Robert Pattinson;Zoë Kravitz,Action,176,4.3,2,2024-10-14
Parasite,Bong Joon-ho,Song Kang-ho;Choi Woo-shik,Thriller,132,5.0,1,2024-08-11
The Grand Budapest Hotel,Wes Anderson,Ralph Fiennes;Tony Revolori,Comedy,100,4.6,2,2025-01-22
Her,Spike Jonze,Joaquin Phoenix;Scarlett Johansson,Romance,126,4.7,1,2024-12-18
Fight Club,David Fincher,Brad Pitt;Edward Norton,Drama,139,4.8,3,2025-02-03
Gone Girl,David Fincher,Ben Affleck;Rosamund Pike,Thriller,149,4.5,1,2024-09-27
Blade Runner 2049,Denis Villeneuve,Ryan Gosling;Ana de Armas,Sci-Fi,164,4.9,2,2025-03-11
Arrival,Denis Villeneuve,Amy Adams;Jeremy Renner,Sci-Fi,116,4.6,1,2024-07-29
Dune,Denis Villeneuve,Timothée Chalamet;Zendaya,Sci-Fi,155,4.7,2,2025-02-25
The Social Network,David Fincher,Jesse Eisenberg;Andrew Garfield,Drama,120,4.5,1,2024-11-30
Barbie,Greta Gerwig,Margot Robbie;Ryan Gosling,Comedy,114,4.1,1,2025-01-09
Lady Bird,Greta Gerwig,Saoirse Ronan;Laurie Metcalf,Drama,94,4.4,2,2024-08-21
Little Women,Greta Gerwig,Saoirse Ronan;Florence Pugh,Drama,135,4.6,1,2025-03-08
Pulp Fiction,Quentin Tarantino,John Travolta;Samuel L. Jackson,Crime,154,5.0,4,2025-02-01
Kill Bill,Quentin Tarantino,Uma Thurman;Lucy Liu,Action,111,4.5,2,2024-10-09
Inglourious Basterds,Quentin Tarantino,Brad Pitt;Christoph Waltz,War,153,4.8,1,2024-12-04
The French Dispatch,Wes Anderson,Timothée Chalamet;Benicio del Toro,Comedy,108,4.0,1,2025-01-28
Asteroid City,Wes Anderson,Jason Schwartzman;Scarlett Johansson,Comedy,105,3.9,1,2025-03-15
Midsommar,Ari Aster,Florence Pugh;Jack Reynor,Horror,148,4.2,1,2024-09-01
Hereditary,Ari Aster,Toni Collette;Alex Wolff,Horror,127,4.6,2,2025-02-20
Poor Things,Yorgos Lanthimos,Emma Stone;Mark Ruffalo,Fantasy,141,4.7,1,2025-03-03
The Favourite,Yorgos Lanthimos,Olivia Colman;Emma Stone,Drama,119,4.4,1,2024-11-18
Get Out,Jordan Peele,Daniel Kaluuya;Allison Williams,Horror,104,4.5,2,2024-08-15
Nope,Jordan Peele,Daniel Kaluuya;Keke Palmer,Sci-Fi,130,4.1,1,2025-01-13
Us,Jordan Peele,Lupita Nyong'o;Winston Duke,Horror,116,4.0,1,2025-02-27
The Lighthouse,Robert Eggers,Robert Pattinson;Willem Dafoe,Horror,109,4.3,2,2024-10-26
The Northman,Robert Eggers,Alexander Skarsgård;Anya Taylor-Joy,Action,137,4.1,1,2025-03-06
Everything Everywhere All At Once,Daniels,Michelle Yeoh;Ke Huy Quan,Sci-Fi,139,4.9,2,2025-01-31
Past Lives,Celine Song,Greta Lee;Teo Yoo,Romance,106,4.5,1,2025-02-16
Call Me By Your Name,Luca Guadagnino,Timothée Chalamet;Armie Hammer,Romance,132,4.7,2,2024-07-22
Challengers,Luca Guadagnino,Zendaya;Mike Faist,Drama,131,4.2,1,2025-03-18
The Menu,Mark Mylod,Anya Taylor-Joy;Ralph Fiennes,Thriller,107,4.3,1,2024-12-09
Knives Out,Rian Johnson,Daniel Craig;Ana de Armas,Mystery,130,4.6,2,2025-02-10
Glass Onion,Rian Johnson,Daniel Craig;Janelle Monáe,Mystery,139,4.0,1,2024-09-14
Mad Max: Fury Road,George Miller,Tom Hardy;Charlize Theron,Action,120,4.8,3,2025-01-25
The Truman Show,Peter Weir,Jim Carrey;Laura Linney,Drama,103,4.7,2,2024-08-03
