songName,artistName,genre,durationSeconds,listenCount,lastPlayed
Blinding Lights,The Weeknd,Pop,200,53,2025-01-12
N95,Kendrick Lamar,Hip-Hop,215,31,2025-03-04
505,Arctic Monkeys,Indie,260,18,2025-02-15
Starboy,The Weeknd,Pop,230,41,2024-11-20
Money Trees,Kendrick Lamar,Hip-Hop,320,27,2024-10-05
Do I Wanna Know?,Arctic Monkeys,Rock,272,36,2024-09-17
As It Was,Harry Styles,Pop,167,45,2025-02-08
Sweater Weather,The Neighbourhood,Indie,240,22,2024-12-14
One Dance,Drake,Rap,173,29,2025-03-22
Pink + White,Frank Ocean,R&B,184,16,2024-08-30
After Hours,The Weeknd,Pop,240,38,2025-01-19
HUMBLE.,Kendrick Lamar,Hip-Hop,177,35,2025-02-11
Fluorescent Adolescent,Arctic Monkeys,Indie,183,24,2024-06-12
Watermelon Sugar,Harry Styles,Pop,174,40,2024-05-08
God's Plan,Drake,Rap,198,34,2024-09-25
Self Control,Frank Ocean,R&B,250,19,2025-03-01
Take Me Out,Franz Ferdinand,Rock,237,14,2024-11-03
Somebody Else,The 1975,Alternative,287,26,2025-01-28
Mr. Brightside,The Killers,Rock,222,44,2025-02-19
Redbone,Childish Gambino,Funk,326,23,2024-07-10
No Role Modelz,J. Cole,Rap,292,28,2025-01-17
The Less I Know The Better,Tame Impala,Psychedelic,216,33,2025-02-02
R U Mine?,Arctic Monkeys,Rock,201,30,2024-08-16
Golden,Harry Styles,Pop,208,20,2024-12-05
Passionfruit,Drake,R&B,298,25,2025-03-12
Lost,Frank Ocean,R&B,234,17,2025-03-20
Take On Me,a-ha,Synthpop,225,21,2024-10-01
Feel Good Inc,Gorillaz,Alternative,221,32,2025-02-25
Bohemian Rhapsody,Queen,Rock,355,27,2024-09-09
Dreams,Fleetwood Mac,Rock,257,22,2024-06-30
Bad Habit,Steve Lacy,R&B,214,31,2025-01-07
Heat Waves,Glass Animals,Alternative,238,29,2025-03-09
Ivy,Frank Ocean,R&B,249,18,2024-07-18
Around The World,Daft Punk,Electronic,431,15,2024-08-11
Electric Feel,MGMT,Alternative,229,26,2024-12-21
Borderline,Tame Impala,Psychedelic,237,24,2025-03-14
Some Nights,fun.,Indie,277,16,2024-05-27
Vienna,Billy Joel,Classic Rock,214,19,2024-11-15
